,assists,bonus,bps,chance_of_playing_this_round,clean_sheets,code,creativity,dreamteam_count,ea_index,element_type,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id_x,in_dreamteam,influence,loans_out,minutes,now_cost,own_goals,penalties_missed,penalties_saved,points_per_game,red_cards,saves,second_name,selected_by_percent,status,team,threat,total_points,transfers_in,transfers_out,value_season,yellow_cards,singular_name_short,team_id,team_name,matchup,opponent_name,creativecost,influencecost,threatcost,myscore
65,0,0,90,,1,106611,5.0,0,0,2,1,Michael,1.0,8,0,13.6,58,False,125.8,0,450,50,0,0,0,2.2,0,0,Keane,0.9,a,3,4.0,11,3552,12109,2.2,1,DEF,3,Burnley,0.5,Leicester,0.1,2.516,0.08,78.4
70,0,0,8,0.0,0,19556,11.7,0,0,3,0,David,0.0,1,0,1.3,61,False,0.0,0,86,50,0,0,0,1.0,0,0,Jones,0.0,u,3,2.0,1,88,2505,0.2,1,MID,3,Burnley,0.5,Leicester,0.23399999999999999,0.0,0.04,1.0
71,0,0,58,,1,28244,53.5,0,0,3,2,George,2.0,8,0,17.2,62,False,56.8,0,450,54,0,0,0,2.2,0,0,Boyd,0.2,a,3,62.0,11,1384,4786,2.0,0,MID,3,Burnley,0.5,Leicester,0.9907407407407407,1.0518518518518518,1.1481481481481481,183.3
72,0,0,30,,2,39158,37.0,0,0,3,1,Scott,0.7,5,0,6.3,63,False,19.6,0,291,54,0,0,0,1.6,0,0,Arfield,0.1,a,3,8.0,8,760,2838,1.5,1,MID,3,Burnley,0.5,Leicester,0.6851851851851852,0.362962962962963,0.14814814814814814,30.609999999999996
73,1,1,59,100.0,1,15982,23.0,0,0,3,2,Dean,3.3,7,0,12.4,64,False,62.4,0,431,45,0,0,0,3.0,0,0,Marney,0.7,a,3,37.0,15,20821,7367,3.3,0,MID,3,Burnley,0.5,Leicester,0.5111111111111111,1.3866666666666667,0.8222222222222222,216.96
76,0,0,31,,1,60586,55.2,0,0,3,1,Johann Berg,1.7,3,0,13.1,473,False,35.8,0,194,52,0,0,0,1.4,0,0,Gudmundsson,0.1,a,3,39.0,7,223,6782,1.3,0,MID,3,Burnley,0.5,Leicester,1.0615384615384615,0.6884615384615385,0.75,117.5
77,1,3,73,,1,39847,61.5,0,0,3,2,Steven,4.7,4,1,17.5,525,False,87.0,0,248,60,0,0,0,4.5,0,0,Defour,0.2,a,3,26.0,18,7904,2954,3.0,0,MID,3,Burnley,0.5,Leicester,1.025,1.45,0.43333333333333335,428.075
78,0,0,11,,0,234483,3.3,0,0,3,0,Aiden,0.3,1,0,1.7,531,False,5.8,0,35,45,0,0,0,1.0,0,0,O'Neill,0.0,a,3,8.0,2,619,458,0.4,0,MID,3,Burnley,0.5,Leicester,0.07333333333333333,0.1288888888888889,0.17777777777777778,4.5649999999999995
79,0,0,15,,0,83314,14.2,0,0,3,2,Jeff,1.5,4,0,2.4,560,False,9.0,0,106,55,0,0,0,1.5,0,0,Hendrick,0.0,a,3,1.0,3,1676,555,0.5,0,MID,3,Burnley,0.5,Leicester,0.2581818181818182,0.16363636363636364,0.01818181818181818,21.15
80,0,3,47,,1,40399,47.4,0,0,4,1,Sam,1.7,6,1,16.4,67,False,50.0,0,378,60,0,0,0,3.2,0,0,Vokes,1.0,a,3,70.0,16,34992,21234,2.7,0,FWD,3,Burnley,0.5,Leicester,0.7899999999999999,0.8333333333333334,1.1666666666666667,158.29
81,1,1,30,,2,73426,44.8,0,0,4,2,Andre,2.0,7,1,16.9,68,False,53.2,0,427,64,0,0,0,3.6,0,0,Gray,7.9,a,3,76.0,18,131450,265933,2.8,0,FWD,3,Burnley,0.5,Leicester,0.7,0.83125,1.1875,192.0
82,0,0,5,0.0,0,34654,1.0,0,0,4,0,Lukas,0.0,0,0,0.3,69,False,0.4,0,13,44,0,0,0,1.0,0,0,Jutkiewicz,0.4,n,3,2.0,2,5061,12790,0.4,0,FWD,3,Burnley,0.5,Leicester,0.022727272727272728,0.009090909090909092,0.045454545454545456,2.0
86,0,0,4,,0,106617,2.8,0,0,4,1,Patrick,1.0,1,0,0.9,553,False,0.0,0,23,50,0,0,0,1.0,0,0,Bamford,0.0,a,3,8.0,2,1589,554,0.4,0,FWD,3,Burnley,0.5,Leicester,0.055999999999999994,0.0,0.16,7.4
87,0,0,55,,1,60772,0.0,0,230,1,2,Thibaut,2.7,6,0,5.4,73,False,54.0,0,450,55,0,0,0,2.4,0,6,Courtois,9.3,a,4,0.0,12,76649,91069,2.2,1,GKP,4,Chelsea,1.2,Liverpool,0.0,0.9818181818181818,0.0,186.96
89,0,0,64,0.0,1,1718,22.9,0,228,2,0,John,2.0,4,0,13.3,75,False,64.6,0,360,54,0,0,0,2.5,0,0,Terry,3.4,i,4,46.0,10,52912,114457,1.8,1,DEF,4,Chelsea,1.2,Liverpool,0.42407407407407405,1.1962962962962962,0.8518518518518519,330.4
90,1,2,103,100.0,1,41135,61.8,0,414,2,1,Branislav,4.0,6,0,26.4,76,False,92.0,0,450,60,0,0,0,3.2,0,0,Ivanovic,6.2,a,4,111.0,16,27360,55615,2.7,1,DEF,4,Chelsea,1.2,Liverpool,1.03,1.5333333333333334,1.85,1287.04
91,1,2,93,,1,41328,40.7,0,470,2,1,César,3.0,6,0,16.4,77,False,73.8,0,450,60,0,0,0,3.2,0,0,Azpilicueta,12.1,a,4,49.0,16,96924,128314,2.7,1,DEF,4,Chelsea,1.2,Liverpool,0.6783333333333333,1.23,0.8166666666666667,604.6
92,0,0,80,,1,19419,3.6,0,283,2,1,Gary,2.7,6,0,14.9,78,False,82.0,0,450,60,0,0,0,2.2,0,0,Cahill,5.2,a,4,62.0,11,13264,50951,1.8,1,DEF,4,Chelsea,1.2,Liverpool,0.060000000000000005,1.3666666666666667,1.0333333333333334,489.22400000000005
98,0,0,21,,0,41270,1.3,0,0,2,1,David,0.5,2,0,5.7,570,False,24.8,0,90,60,0,0,0,1.0,0,0,Luiz Moreira Marinho,0.9,a,4,31.0,1,35245,12169,0.2,0,DEF,4,Chelsea,1.2,Liverpool,0.021666666666666667,0.41333333333333333,0.5166666666666667,35.26
99,1,6,104,,1,42786,181.1,1,476,3,2,Eden,4.7,6,2,51.2,82,False,142.6,0,434,100,0,0,0,5.6,0,0,Hazard,28.0,a,4,188.0,28,600176,346668,2.7,2,MID,4,Chelsea,1.2,Liverpool,1.811,1.426,1.88,2913.9880000000003
100,1,0,30,,0,17878,64.2,0,617,3,1,Cesc,0.7,0,0,13.0,83,False,37.4,0,35,71,0,0,0,2.0,0,0,Fàbregas,2.3,a,4,28.0,6,22045,180722,0.8,0,MID,4,Chelsea,1.2,Liverpool,0.9042253521126761,0.5267605633802817,0.39436619718309857,114.86400000000002
