,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,creativecost,influencecost,threatcost,myscore,position
264,0,0,0,,,0,15208,-1,1,-1,1,0.0,0,200,3,1.5,0.5,0,Bastian,0.0,0,0,0.0,265,False,0.0,0,0,0,0,0,,54,0,0,0,15208.jpg,0.0,0,0,Schweinsteiger,0.2,False,31.0,a,11,1,0.0,0,240,84,2651,1147,0.0,0.0,Schweinsteiger,0,0.0,0.0,0.0,0.0,Mid
265,0,0,0,100.0,100.0,0,109322,-1,1,-1,1,0.0,0,318,3,1.5,0.5,0,Jesse,0.0,0,0,0.0,266,False,0.0,0,0,0,0,0,,59,0,0,0,109322.jpg,0.0,0,0,Lingard,0.8,False,14.0,a,11,1,0.0,0,1225,392,13818,6173,0.0,0.0,Lingard,0,0.0,0.0,0.0,0.0,Mid
266,2,3,39,,,1,148225,0,0,0,0,43.7,1,593,3,8.5,7.5,3,Anthony,7.0,1,0,14.4,267,False,43.6,0,0,0,0,165,,95,0,0,0,148225.jpg,7.0,0,0,Martial,8.9,False,11.0,a,11,1,57.0,14,77520,22109,40763,31555,0.7,1.5,Martial,0,0.46,0.45894736842105266,0.6,1024.1000000000001,Mid
267,0,0,2,,,0,57249,-1,1,-2,2,11.4,0,0,3,2.5,1.5,1,Henrikh,1.0,0,0,1.5,268,False,4.8,0,0,0,0,31,,93,0,0,0,57249.jpg,1.0,0,0,Mkhitaryan,4.1,False,22.0,a,11,1,0.0,2,2301,603,131014,56918,0.1,0.2,Mkhitaryan,0,0.12258064516129033,0.05161290322580645,0.0,18.2,Mid
268,1,1,48,,,1,13017,0,0,0,0,52.0,0,509,4,7.5,6.5,5,Wayne,6.0,1,1,21.0,269,False,66.6,0,0,0,0,176,,90,0,0,0,13017.jpg,6.0,0,0,Rooney,6.1,False,10.0,a,11,1,91.0,12,48289,15574,34268,24531,0.7,1.3,Rooney,0,0.5777777777777777,0.74,1.011111111111111,1269.6,Fwd
269,0,0,0,0.0,,0,112139,0,0,0,0,0.0,0,1,4,0.0,0.5,0,James,0.0,0,0,0.0,270,False,0.0,0,0,0,0,0,Joined Derby in season-long loan deal,50,0,0,0,112139.jpg,0.0,0,0,Wilson,0.1,False,19.0,u,11,1,0.0,0,210,55,1382,792,0.0,0.0,Wilson,0,0.0,0.0,0.0,0.0,Fwd
270,0,0,0,,,0,176297,-1,1,-2,2,0.0,0,237,4,1.5,0.5,0,Marcus,0.0,0,0,0.0,271,False,0.0,0,0,0,0,0,,68,0,0,0,176297.jpg,0.0,0,0,Rashford,3.0,False,19.0,a,11,1,0.0,0,2411,558,66270,30412,0.0,0.0,Rashford,0,0.0,0.0,0.0,0.0,Fwd
271,0,6,87,,,1,9808,2,-2,2,-2,53.5,2,0,4,12.5,11.5,13,Zlatan,11.0,1,3,22.6,272,True,110.6,0,0,0,0,180,,117,0,0,0,9808.jpg,11.0,0,0,Ibrahimovic,53.8,False,9.0,a,11,1,62.0,22,338525,252511,15020,4232,0.9,1.9,Ibrahimovic,0,0.45726495726495725,0.9452991452991453,0.5299145299145299,2509.1,Fwd
272,0,0,0,,,0,19101,0,0,0,0,0.0,0,0,1,-0.5,-0.5,0,Dimitrios,0.0,0,0,0.0,273,False,0.0,0,0,0,0,0,,45,0,0,0,19101.jpg,0.0,0,0,Konstantopoulos,0.2,False,1.0,a,12,25,0.0,0,86,49,1643,691,0.0,0.0,Konstantopoulos,0,0.0,0.0,0.0,0.0,Keep
273,0,0,8,75.0,,0,12496,0,0,0,0,0.0,0,0,1,0.4,0.5,0,Víctor,1.0,1,0,0.2,274,False,2.0,0,0,0,0,90,Muscle injury - 75% chance of playing,45,0,0,0,12496.jpg,2.0,0,0,Valdés,7.2,False,26.0,d,12,25,0.0,2,15812,3122,34044,25716,0.2,0.4,Valdés,0,0.0,0.044444444444444446,0.0,4.0,Keep
