,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
25,0,0,0,0.0,0.0,0,50175,0,0,-1,1,0.0,0,164,4,0.0,0.0,0,Danny,0.0,0,0,0.0,26,False,0.0,0,0,0,0,0,Knee injury - Expected back 04 Feb,74,0,0,0,50175.jpg,0.0,0,0,Welbeck,0.1,False,23.0,i,1,3,0.0,0,470,33,1934,87,0.0,0.0,Welbeck,0
26,0,0,0,,,0,80711,0,0,-2,2,0.0,0,0,4,0.0,0.5,0,Yaya,0.0,0,0,0.0,27,False,0.0,0,0,0,0,0,,48,0,0,0,80711.jpg,0.0,0,0,Sanogo,0.2,False,22.0,a,1,3,0.0,0,1334,143,4886,274,0.0,0.0,Sanogo,0
27,0,0,0,0.0,0.0,0,154998,0,0,-1,1,0.0,0,0,4,0.0,0.0,0,Takuma,0.0,0,0,0.0,28,False,0.0,0,0,0,0,0,Awaiting work permit,49,0,0,0,154998.jpg,0.0,0,0,Asano,0.1,False,,u,1,3,0.0,0,353,13,3526,109,0.0,0.0,Asano,0
28,0,0,102,,,1,18726,0,0,0,0,0.0,1,281,1,2.8,2.8,2,Artur,4.3,9,0,14.0,29,False,141.2,0,0,0,0,450,,45,0,0,1,18726.jpg,3.8,0,18,Boruc,5.2,False,1.0,a,2,91,0.0,19,27779,4741,36928,3520,1.0,4.2,Boruc,1
29,0,0,0,,,0,15885,0,0,0,0,0.0,0,31,1,-1.5,-1.5,0,Adam,0.0,0,0,0.0,30,False,0.0,0,0,0,0,0,,45,0,0,0,15885.jpg,0.0,0,0,Federici,0.1,False,23.0,a,2,91,0.0,0,244,17,1019,70,0.0,0.0,Federici,0
30,0,0,96,,,1,15149,0,0,0,0,9.7,0,462,2,1.0,1.0,0,Simon,2.5,9,0,16.7,31,False,122.6,0,0,0,0,450,,45,0,0,0,15149.jpg,2.2,0,0,Francis,1.1,False,2.0,a,2,91,34.0,11,6604,1320,15911,1590,0.6,2.4,Francis,0
31,0,1,89,100.0,100.0,1,56917,-1,1,-1,1,23.3,0,443,2,1.0,1.0,0,Steve,2.5,9,0,22.6,32,False,143.2,0,0,0,0,450,,49,0,0,0,56917.jpg,2.2,0,0,Cook,0.5,False,3.0,a,2,91,59.0,11,1354,100,5711,508,0.5,2.2,Cook,1
32,0,2,81,,,1,41320,-1,1,-1,1,84.6,0,491,2,1.5,1.5,0,Charlie,3.0,9,0,16.9,33,False,69.8,0,0,0,0,450,,49,0,0,0,41320.jpg,2.6,0,0,Daniels,3.1,False,11.0,a,2,91,15.0,13,4977,493,47699,4047,0.6,2.7,Daniels,0
33,1,3,104,100.0,100.0,1,54469,0,0,1,-1,56.7,1,297,2,2.0,2.0,-1,Adam,3.5,9,1,22.9,34,False,126.6,0,0,0,0,450,,46,0,0,0,54469.jpg,4.2,0,0,Smith,7.1,False,15.0,a,2,91,45.0,21,208162,30352,41546,9670,0.8,4.6,Smith,2
34,0,0,0,100.0,100.0,0,149484,0,0,0,0,0.0,0,1,2,-1.5,-1.5,0,Tyrone,0.0,0,0,0.0,35,False,0.0,0,0,0,0,0,,45,0,0,0,149484.jpg,0.0,0,0,Mings,0.0,False,26.0,a,2,91,0.0,0,235,31,372,21,0.0,0.0,Mings,0
35,0,0,6,,,0,126184,0,0,-1,1,0.3,0,232,2,-1.0,-1.0,0,Nathan,0.5,2,0,0.3,36,False,0.2,0,0,0,0,15,,44,0,0,0,126184.jpg,1.0,0,0,Aké,1.2,False,5.0,a,2,91,2.0,2,3111,185,25685,1711,0.1,0.5,Aké,0
36,1,0,66,100.0,100.0,1,48615,0,0,0,0,69.0,0,188,3,0.8,0.8,2,Harry,2.3,9,0,15.3,37,False,62.8,0,0,0,0,436,,50,0,0,0,48615.jpg,2.2,1,0,Arter,0.2,False,8.0,a,2,91,24.0,11,2368,104,2967,265,0.5,2.2,Arter,0
37,0,0,0,,,0,20037,0,0,-2,2,0.0,0,245,3,-1.5,-1.5,0,Marc,0.0,0,0,0.0,38,False,0.0,0,0,0,0,0,,48,0,0,0,20037.jpg,0.0,0,0,Pugh,0.1,False,7.0,a,2,91,0.0,0,120,11,1546,98,0.0,0.0,Pugh,0
38,0,0,80,,,1,15237,0,0,-1,1,42.8,0,385,3,0.8,0.8,2,Andrew,2.3,9,0,13.0,39,False,65.0,0,0,0,0,450,,49,0,0,0,15237.jpg,2.2,0,0,Surman,0.2,False,6.0,a,2,91,22.0,11,784,52,3845,313,0.5,2.2,Surman,0
39,0,0,0,0.0,0.0,0,80498,0,0,-1,1,0.0,0,84,3,0.0,0.0,0,Eunan,0.0,0,0,0.0,40,False,0.0,0,0,0,0,0,Joined Leeds on 31/8,44,0,0,0,80498.jpg,0.0,0,0,O'Kane,0.4,False,32.0,u,2,91,0.0,0,1154,14,6925,518,0.0,0.0,O'Kane,0
40,0,0,0,0.0,0.0,0,20669,0,0,0,0,0.0,0,3,3,0.0,0.0,0,Shaun,0.0,0,0,0.0,41,False,0.0,0,0,0,0,0,Transferred to Wigan,45,0,0,0,20669.jpg,0.0,0,0,MacDonald,0.1,False,16.0,u,2,91,0.0,0,86,6,2923,73,0.0,0.0,MacDonald,0
41,0,0,18,100.0,100.0,1,56872,0,0,0,0,20.4,0,217,3,-0.2,-0.2,2,Junior,1.3,4,0,7.0,42,False,13.4,0,0,0,0,146,,55,0,0,0,56872.jpg,2.5,0,0,Stanislas,0.0,False,19.0,a,2,91,36.0,5,161,12,539,45,0.2,0.9,Stanislas,0
42,0,0,13,,,0,40387,0,0,-2,2,25.9,0,331,3,-0.5,-0.5,1,Dan,1.0,1,0,3.5,43,False,6.2,0,0,0,0,77,,48,0,0,0,40387.jpg,1.0,0,0,Gosling,0.1,False,4.0,a,2,91,3.0,4,202,15,3265,198,0.2,0.8,Gosling,0
43,0,0,12,,,0,59741,-1,1,-3,3,4.2,0,155,3,-1.0,-1.0,1,Max,0.5,0,0,4.3,44,False,13.4,0,0,0,0,44,,52,0,0,0,59741.jpg,1.0,0,0,Gradel,0.2,False,10.0,a,2,91,25.0,3,738,15,9573,404,0.1,0.6,Gradel,0
44,0,0,0,100.0,100.0,0,122342,0,0,0,0,0.0,0,0,3,-1.5,-1.5,0,Emerson,0.0,0,0,0.0,45,False,0.0,0,0,0,0,0,,45,0,0,0,122342.jpg,0.0,0,0,Hyndman,0.0,False,22.0,a,2,91,0.0,0,182,40,584,41,0.0,0.0,Hyndman,0
45,0,0,30,,,2,103912,-1,1,-2,2,75.5,0,184,3,0.5,0.5,1,Jordon,2.0,5,0,18.4,46,False,25.6,0,0,0,0,310,,53,0,0,0,103912.jpg,2.0,0,0,Ibe,2.8,False,33.0,a,2,91,84.0,10,19742,199,94600,8639,0.4,1.9,Ibe,0
46,0,0,10,100.0,100.0,0,155408,0,0,-1,1,14.3,0,0,3,-1.5,-1.5,0,Lewis,0.0,3,0,2.5,47,False,7.0,0,0,0,0,80,,44,0,0,0,155408.jpg,2.0,0,0,Cook,0.4,False,18.0,a,2,91,4.0,2,3106,158,7901,660,0.0,0.5,Cook,0
47,0,2,64,100.0,100.0,1,78007,0,0,0,0,60.2,0,321,3,2.5,2.5,2,Joshua,4.0,9,1,30.2,48,False,87.8,0,0,0,0,433,,55,0,0,0,78007.jpg,3.6,0,0,King,0.8,False,17.0,a,2,91,153.0,18,23469,1256,19353,2128,0.7,3.3,King,0
