,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,creativecost,influencecost,threatcost,myscore
286,0,0,0,,,0,153601,0,0,-1,1,0.0,0,0,3,-2.0,-1.0,0,Carlos,0.0,0,0,0.0,287,False,0.0,0,0,0,0,0,,44,0,0,0,153601.jpg,0.0,0,0,De Pena,0.1,False,16.0,a,12,25,0.0,0,1631,89,2463,366,0.0,0.0,De Pena,0,0.0,0.0,0.0,0.0
287,0,0,0,,,0,169535,0,0,-1,1,0.0,0,0,3,-2.0,-1.0,0,Julien,0.0,0,0,0.0,288,False,0.0,0,0,0,0,0,,44,0,0,0,169535.jpg,0.0,0,0,de Sart,0.1,False,23.0,a,12,25,0.0,0,1362,55,1363,223,0.0,0.0,de Sart,0,0.0,0.0,0.0,0.0
288,0,0,4,,,0,123125,0,0,-3,3,12.4,0,0,3,-1.3,-0.3,1,Viktor,0.7,2,0,1.7,289,False,4.4,0,0,0,0,57,,52,0,0,0,123125.jpg,1.0,0,0,Fischer,0.4,False,11.0,a,12,25,0.0,2,772,83,33585,2911,0.1,0.4,Fischer,0,0.23846153846153847,0.08461538461538462,0.0,13.76
289,0,0,6,100.0,100.0,0,82428,0,0,-1,1,2.8,0,0,3,-1.7,-0.7,1,Marten,0.3,0,0,1.4,290,False,3.0,0,0,0,0,55,,44,0,0,0,82428.jpg,1.0,0,0,de Roon,0.2,False,14.0,a,12,25,8.0,2,3100,414,5185,502,0.1,0.5,de Roon,0,0.06363636363636363,0.06818181818181818,0.18181818181818182,6.14
290,0,0,10,,,0,12744,-1,1,-2,2,2.4,0,0,4,-1.3,-0.3,0,David,0.7,0,0,0.5,291,False,2.6,0,0,0,0,11,,48,0,0,0,12744.jpg,1.0,0,0,Nugent,0.4,False,35.0,a,12,25,2.0,3,3213,631,15956,1945,0.1,0.6,Nugent,0,0.049999999999999996,0.05416666666666667,0.041666666666666664,7.8999999999999995
291,0,0,0,75.0,,0,20047,0,0,-4,4,0.0,0,0,4,-1.5,-1.0,0,Jordan,0.0,0,0,0.0,292,False,0.0,0,0,0,0,0,Knee injury - 75% chance of playing,56,0,0,0,20047.jpg,0.0,0,0,Rhodes,0.4,False,9.0,d,12,25,0.0,0,976,95,30661,2119,0.0,0.0,Rhodes,0,0.0,0.0,0.0,0.0
292,0,3,82,75.0,,1,49464,1,-1,1,-1,31.1,1,0,4,2.8,4.7,2,Cristhian,5.7,3,2,17.4,293,False,96.0,0,0,0,0,260,Groin Injury - 75% chance of playing,51,0,0,0,49464.jpg,5.7,0,0,Stuani,5.3,False,18.0,d,12,25,47.0,17,234069,30397,78636,37346,1.1,3.4,Stuani,0,0.6098039215686275,1.8823529411764706,0.9215686274509803,1009.37
293,0,0,36,100.0,100.0,0,40383,0,0,0,0,0.0,0,233,1,1.8,0.8,0,Fraser,1.3,6,0,2.6,294,False,26.0,0,0,0,0,360,,50,0,0,0,40383.jpg,1.5,0,4,Forster,4.2,False,1.0,a,13,20,0.0,6,15755,1645,49130,6627,0.3,1.2,Forster,1,0.0,0.52,0.0,39.800000000000004
294,0,0,0,0.0,0.0,0,102884,0,0,0,0,0.0,0,15,1,0.0,0.0,0,Paulo,0.0,0,0,0.0,295,False,0.0,0,0,0,0,0,Joined Rayo Vallecano on season-long loan deal,45,0,0,0,102884.jpg,0.0,0,0,Gazzaniga,0.0,False,25.0,u,13,20,0.0,0,25,3,151,13,0.0,0.0,Gazzaniga,0,0.0,0.0,0.0,0.0
295,0,0,7,100.0,100.0,0,40146,0,0,-1,1,2.4,0,415,2,0.5,-0.5,0,Ryan,0.0,2,0,2.4,296,False,22.0,0,0,0,0,90,,54,0,0,0,40146.jpg,0.0,0,0,Bertrand,0.5,False,21.0,a,13,20,0.0,0,1167,418,11345,787,0.0,0.0,Bertrand,1,0.044444444444444446,0.4074074074074074,0.0,0.0
296,0,0,37,75.0,75.0,0,38580,-1,1,-1,1,2.6,0,487,2,1.1,0.4,0,Jose,1.0,5,0,5.3,297,False,45.8,0,0,0,0,270,,54,0,0,0,38580.jpg,1.0,0,0,Fonte,4.0,False,6.0,a,13,20,5.0,3,6193,793,51634,9698,0.2,0.6,Fonte,1,0.04814814814814815,0.8481481481481481,0.09259259259259259,56.4
297,0,0,17,,,0,80447,0,0,-1,1,0.3,0,152,2,0.5,-0.5,0,Maya,0.0,1,0,2.4,298,False,18.0,0,0,0,0,90,,44,0,0,0,80447.jpg,2.0,0,0,Yoshida,0.4,False,3.0,a,13,20,6.0,2,1620,199,5778,913,0.0,0.5,Yoshida,0,0.006818181818181818,0.4090909090909091,0.13636363636363635,2.0
298,0,0,53,100.0,100.0,0,169359,0,0,0,0,56.3,0,169,2,1.5,0.5,0,Matt,1.0,4,0,11.4,299,False,50.4,0,0,0,0,270,,45,0,0,0,169359.jpg,1.7,0,0,Targett,0.8,False,33.0,a,13,20,7.0,5,11417,681,14407,2910,0.2,1.1,Targett,0,1.251111111111111,1.1199999999999999,0.15555555555555556,118.69999999999999
299,0,0,0,50.0,50.0,0,84395,0,0,0,0,0.0,0,0,2,0.3,-0.3,0,Florin,0.0,0,0,0.0,300,False,0.0,0,0,0,0,0,Knee injury - 50% chance of playing,40,0,0,0,84395.jpg,0.0,0,0,Gardos,0.1,False,5.0,d,13,20,0.0,0,519,123,1270,148,0.0,0.0,Gardos,0,0.0,0.0,0.0,0.0
300,0,0,58,75.0,75.0,0,58822,0,0,0,0,60.7,0,320,2,1.4,0.6,1,Cédric,1.3,6,0,16.6,301,False,82.6,0,0,0,0,348,,50,0,0,0,58822.jpg,1.5,0,0,Soares,1.0,False,2.0,a,13,20,23.0,6,6534,1239,12601,2119,0.3,1.2,Cédric,0,1.214,1.652,0.46,222.19000000000003
301,0,0,0,,,0,56192,0,0,-1,1,0.0,0,203,2,0.5,-0.5,0,Cuco,0.0,0,0,0.0,302,False,0.0,0,0,0,0,0,,44,0,0,0,56192.jpg,0.0,0,0,Martina,0.1,False,15.0,a,13,20,0.0,0,420,151,2415,264,0.0,0.0,Martina,0,0.0,0.0,0.0,0.0
302,0,0,58,,,0,97032,-1,1,-1,1,2.5,0,452,2,1.5,0.5,0,Virgil,1.0,6,0,13.1,303,False,88.0,0,0,0,0,360,,54,0,0,0,97032.jpg,1.0,0,0,van Dijk,9.2,False,17.0,a,13,20,40.0,4,10416,1228,141699,23703,0.2,0.7,van Dijk,2,0.046296296296296294,1.6296296296296295,0.7407407407407407,134.5
303,0,3,61,,,0,83283,0,0,1,-1,142.1,0,379,3,2.2,1.2,2,Nathan,1.7,6,1,33.2,304,False,67.0,0,0,0,0,360,,61,0,0,0,83283.jpg,3.8,0,0,Redmond,9.8,False,22.0,a,13,20,123.0,15,261815,8104,179172,47112,0.3,2.5,Redmond,1,2.3295081967213114,1.098360655737705,2.0163934426229506,579.57
304,0,0,59,,,0,17339,0,0,-1,1,84.8,0,535,3,2.2,1.2,2,Steven,1.7,6,0,15.8,305,False,35.6,0,0,0,0,336,,54,0,0,0,17339.jpg,1.8,0,0,Davis,0.9,False,8.0,a,13,20,37.0,7,1778,116,19428,3424,0.3,1.3,Davis,1,1.5703703703703704,0.6592592592592593,0.6851851851851852,274.5799999999999
305,1,0,24,,,0,101178,-1,1,-2,2,36.5,0,266,3,2.2,1.2,1,James,1.7,2,0,7.8,306,False,26.6,0,0,0,0,74,,53,0,0,0,101178.jpg,2.0,0,0,Ward-Prowse,0.2,False,16.0,a,13,20,15.0,6,718,65,5794,932,0.3,1.1,Ward-Prowse,0,0.6886792452830188,0.5018867924528302,0.2830188679245283,138.76999999999998
306,0,0,0,,,0,153366,0,0,-1,1,0.0,0,1,3,0.5,-0.5,0,Harrison,0.0,0,0,0.0,307,False,0.0,0,0,0,0,0,,44,0,0,0,153366.jpg,0.0,0,0,Reed,0.1,False,18.0,a,13,20,0.0,0,369,120,856,156,0.0,0.0,Reed,0,0.0,0.0,0.0,0.0
307,1,0,43,,,1,62399,0,0,-2,2,197.0,0,564,3,3.8,2.8,5,Dusan,3.3,4,0,33.3,308,False,46.0,0,0,0,0,325,,73,0,0,0,62399.jpg,3.0,0,0,Tadic,2.9,False,11.0,a,13,20,89.0,12,20121,2623,110825,10438,0.5,1.6,Tadic,0,2.6986301369863015,0.6301369863013698,1.2191780821917808,1107.6
308,0,0,22,,,0,85654,-1,1,-2,2,23.3,0,183,3,1.8,0.8,2,Jordy,1.3,3,0,3.5,309,False,16.0,0,0,0,0,143,,48,0,0,0,85654.jpg,2.0,0,0,Clasie,0.1,False,4.0,a,13,20,3.0,4,756,76,1820,239,0.3,0.8,Clasie,0,0.48541666666666666,0.3333333333333333,0.0625,58.989999999999995
309,0,3,63,100.0,100.0,0,78056,0,0,0,0,32.7,0,239,3,3.2,2.2,3,Oriol,2.7,4,0,13.3,310,False,75.0,0,0,0,0,281,,45,0,0,0,78056.jpg,2.5,0,0,Romeu Vidal,0.3,False,14.0,a,13,20,26.0,10,5171,1956,4167,784,0.6,2.2,Oriol Romeu,0,0.7266666666666667,1.6666666666666667,0.5777777777777777,370.99
310,0,2,23,75.0,,0,44683,0,0,-1,1,4.7,0,56,3,2.8,2.8,1,Jay,3.3,2,1,6.3,311,False,35.2,0,0,0,0,69,Knock - 75% chance of playing,64,0,0,0,44683.jpg,3.3,0,0,Rodriguez,0.4,False,9.0,d,13,20,24.0,10,3406,637,8480,1255,0.5,1.6,Rodriguez,0,0.0734375,0.55,0.375,220.87
311,0,0,55,,,0,132015,0,0,0,0,75.2,0,0,3,1.8,0.8,0,Pierre-Emile,1.3,4,0,15.9,312,False,52.6,0,0,0,0,233,,45,0,0,0,132015.jpg,1.3,0,0,Højbjerg,2.3,False,23.0,a,13,20,32.0,5,18721,1050,45645,10595,0.3,1.1,Højbjerg,1,1.6711111111111112,1.1688888888888889,0.7111111111111111,212.74
312,0,0,7,,,0,20452,0,0,-2,2,35.9,0,435,4,1.8,0.8,1,Shane,1.3,5,0,17.0,313,False,18.6,0,0,0,0,234,,63,0,0,0,20452.jpg,1.5,0,0,Long,6.8,False,7.0,a,13,20,117.0,6,41772,5499,291976,42516,0.2,1.0,Long,0,0.5698412698412698,0.29523809523809524,1.8571428571428572,228.95000000000002
313,0,0,7,,,1,78356,0,0,-3,3,3.4,0,32,4,1.5,0.5,0,Charlie,1.0,0,0,2.4,314,False,2.2,0,0,0,0,105,,62,0,0,0,78356.jpg,1.3,0,0,Austin,0.8,False,10.0,a,13,20,21.0,4,8321,5002,42708,4450,0.2,0.6,Austin,0,0.054838709677419356,0.035483870967741936,0.3387096774193548,30.599999999999998
314,0,3,78,,,0,1822,0,0,0,0,0.0,1,24,1,3.2,2.7,1,Shay,3.7,10,0,12.6,315,False,126.4,0,0,0,0,360,,45,1,0,1,1822.jpg,3.0,0,15,Given,0.8,False,24.0,a,14,110,0.0,12,13860,2274,4888,1172,0.8,2.7,Given,1,0.0,2.808888888888889,0.0,479.68000000000006
315,0,0,0,0.0,0.0,0,105666,-1,1,-2,2,0.0,0,341,1,0.0,0.0,0,Jack,0.0,0,0,0.0,316,False,0.0,0,0,0,0,0,Ankle injury - Expected back 12 Nov,48,0,0,0,105666.jpg,0.0,0,0,Butland,2.2,False,1.0,i,14,110,0.0,0,1744,70,95866,9912,0.0,0.0,Butland,0,0.0,0.0,0.0,0.0
316,0,0,0,50.0,50.0,0,112316,0,0,-1,1,0.0,0,31,1,-0.3,-0.5,0,Jakob,0.0,0,0,0.0,317,False,0.0,0,0,0,0,0,Ankle injury - 50% chance of playing,44,0,0,0,112316.jpg,0.0,0,0,Haugaard,0.1,False,29.0,d,14,110,0.0,0,103,10,1594,246,0.0,0.0,Haugaard,0,0.0,0.0,0.0,0.0
